name,address,lat,long
Star Asia Food Store,"[22-23 MOore Street, North Inner City, Dublin, Ireland]",53.3506012,-6.2627501
D4 Stores,"[D4 Hotel, Ballsbridge, IFSC, Dublin 4, Ireland]",53.3308716,-6.2337699
Aldi,"[Santry Avenue, Santry, Dublin, Ireland]",53.39858054,-6.250910782
Spar,"[23 Baggot Street Upper, Baggot Street, Dublin 4, Ireland]",53.3332977,-6.2440095
Eurospar Barrow Street,"[Gordon House, Barrow Street, Beggars Bush, Dublin 4, Ireland]",53.34009833,-6.236157417
Lidl,"[St Margarates Road, Finglas, Finglas, Dublin 11, Ireland]",53.39671361,-6.304693222
Spar,"[Northwood Avenue, Santry, Dublin, Ireland]",53.4037549,-6.260704794
Tesco Express,"[98 South Circular Road, Portobello, Portobello, Dublin, Ireland]",53.33239707,-6.274336986
Morans Family Butcher,"[3A Marino Mart, Fairview, North Inner City, Dublin 3, Ireland]",53.3642197,-6.2330298
Polsmak,"[Capel St, North Inner City, Dublin 1, Ireland]",53.3486519,-6.2688599
The Gem Newsagent,"[Harbour Road, Howth, Howth, Dublin 13, Ireland]",53.3878517,-6.0686498
Lidl,"[Main Street, Clonee, Co. Meath, Ireland]",53.4104614,-6.44031
Lidl Rathfarmham,"[Grange Rd, Rathfarnham, Ballinteer, Dublin, Ireland]",53.27753048,-6.265902435
Gillans Supermarket,"[Main Street, Summerhill, Co. Meath, Ireland]",53.4815496,-6.7331518
Kellys Grocery Store,"[18 Main Street, Chapelizod, Chapelizod, Dublin 20, Ireland]",53.3490105,-6.34343
Stayfresh Newsagents,"[69b North Strand Road, Ballybough, Dublin 3, Ireland]",53.3593674,-6.2405663
Fegans Cash & Carry,"[Chancery Street, North Inner City, Dublin 7, Ireland]",53.3468895,-6.2715302
Lituanica,"[56/58 Parnell Street, Moore St. Mall, North Inner City, Dublin, Ireland]",53.35122216,-6.263316433
Tescos,"[Ballyfermot Road, Ballyfermot, Ballyfermot, Dublin, Ireland]",53.3418,-6.35267
J Donnelly,"[5 Grange Road, Rathfarnham, Rathfarnham, Dublin 14, Ireland]",53.29002,-6.2832699
Spar,"[E Block, Castleforbes Square, East Wall, Dublin 1, Ireland]",53.3485298,-6.2320099
Centra,"[Aldborough Place, 1/4 North Strand Street, IFSC, Dublin 1, Ireland]",53.3549194,-6.2456398
